0000.020|RX|UserTorque(Nm)|Velocity(rad)|Position(mm)|Position(rad)|Roller|Cell1|Cell2|TX|CmdTorque|EccOverload|EasyStart|Inertia|Friction|Vel_H|Vel_L|ViscoConc|ViscoEcc
0003.369|RX|4,35|0,11|343,82|4,21|11|0,04|0,05|TX|16,77|0,00|4,05|0,70|0,29|20,00|-20,00|0,00|-0,00
0003.391|RX|4,54|0,11|343,64|4,20|11|0,04|0,05|TX|16,77|0,00|4,05|0,70|0,29|20,00|-20,00|0,00|-0,00
0003.410|RX|4,70|0,11|343,47|4,20|11|0,04|0,05|TX|16,77|0,00|4,05|0,70|0,29|20,00|-20,00|0,00|-0,00
0003.431|RX|4,82|0,10|343,30|4,20|11|0,04|0,05|TX|16,77|0,00|4,05|0,70|0,29|20,00|-20,00|0,00|-0,00
0003.450|RX|4,95|0,10|343,13|4,20|11|0,04|0,05|TX|16,77|0,00|4,05|0,70|0,29|20,00|-20,00|0,00|-0,00
0003.470|RX|5,06|0,10|342,96|4,20|11|0,04|0,05|TX|16,77|0,00|4,05|0,70|0,29|20,00|-20,00|0,00|-0,00
0003.490|RX|5,19|0,10|342,80|4,19|11|0,04|0,05|TX|16,77|0,00|4,05|0,70|0,29|20,00|-20,00|0,00|-0,00
0003.510|RX|5,34|0,10|342,64|4,19|11|0,04|0,05|TX|16,77|0,00|4,05|0,70|0,29|20,00|-20,00|0,00|-0,00
0003.530|RX|5,41|0,10|342,49|4,19|11|0,04|0,05|TX|16,77|0,00|4,05|0,70|0,29|20,00|-20,00|0,00|-0,00
0003.550|RX|5,35|0,10|342,33|4,19|11|0,04|0,05|TX|16,77|0,00|4,05|0,70|0,29|20,00|-20,00|0,00|-0,00
0003.569|RX|5,23|0,10|342,17|4,19|11|0,04|0,05|TX|16,77|0,00|4,05|0,70|0,29|20,00|-20,00|0,00|-0,00
0003.589|RX|5,15|0,10|342,01|4,18|11|0,04|0,05|TX|16,77|0,00|4,05|0,70|0,29|20,00|-20,00|0,00|-0,00
